,COUNTY,USAWT2RC,W1STATE,WWWHISP,CENSDIV,F2,STRATA,WWWRACE3,WWWBLACK,WWWAGE,WWWEDU5,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
947,-0.16401076911882428,-0.042887562181153416,-0.1636363636363637,-1,0.29032258064516125,-0.33333333333333326,1.0,-1,-1,0.666666666666667,-0.5,0,0,0,0,1,1,1
1944,-0.0558829949792623,-1.0,-0.054545454545454564,-1,-0.29032258064516125,0.3333333333333335,1.0,-1,-1,-0.6666666666666665,0.5,1,0,0,0,0,0,0
1950,-0.562104344029688,-1.0,-0.5636363636363637,-1,0.29032258064516125,0.3333333333333335,0.0,0,1,-0.33333333333333326,0.0,0,0,1,0,0,0,0
2501,-0.5985956486938806,-1.0,-0.6000000000000001,1,0.29032258064516125,0.3333333333333335,-1.0,-1,-1,-0.6363636363636362,0.0,0,0,1,0,0,0,0
3087,0.27453976569890104,-1.0,0.2727272727272727,-1,-0.935483870967742,0.3333333333333335,1.0,-1,-1,0.7878787878787881,-0.5,0,0,0,0,0,0,0
1387,-0.2013388634213783,-1.0,-0.20000000000000007,-1,-1.0,1.0,1.0,-1,-1,-0.8484848484848484,0.0,0,0,0,1,1,0,1
820,0.48999490649785327,-0.11571440606451422,0.49090909090909074,-1,-0.935483870967742,-0.33333333333333326,1.0,0,1,0.21212121212121238,-0.5,1,0,0,0,0,0,0
1115,-0.5981954449537947,-0.5214437810905768,-0.6000000000000001,-1,0.29032258064516125,0.3333333333333335,1.0,-1,-1,-0.45454545454545436,-0.5,1,0,0,0,0,1,0
1998,-0.08644400785854633,-1.0,-0.09090909090909094,-1,-0.3548387096774195,0.3333333333333335,0.0,0,1,-0.5151515151515151,0.0,0,0,1,0,0,0,0
1691,-0.08942734483009551,-1.0,-0.09090909090909094,-1,-0.3548387096774195,1.0,1.0,-1,-1,-0.6666666666666665,1.0,1,0,0,1,0,0,0
1458,0.5627592228771008,-1.0,0.5636363636363635,-1,-1.0,-0.33333333333333326,1.0,-1,-1,-0.8484848484848484,0.5,0,0,0,0,0,0,1
2714,0.4934148293676779,-1.0,0.49090909090909074,-1,-0.935483870967742,-0.9999999999999999,0.0,1,-1,0.12121212121212133,-1.0,0,0,0,0,0,0,0
1971,-0.41868587644619093,-1.0,-0.4181818181818182,-1,-0.3548387096774195,1.0,0.0,0,1,0.21212121212121238,-0.5,0,0,1,0,0,1,1
920,0.4945790584297458,-0.2308561959037747,0.49090909090909074,-1,-0.935483870967742,0.3333333333333335,1.0,-1,-1,-0.5454545454545454,0.0,1,0,0,1,1,0,0
1176,0.7153459943243832,-0.19616645948818723,0.709090909090909,-1,0.41935483870967727,0.3333333333333335,1.0,-1,-1,-0.5151515151515151,0.0,0,0,0,1,1,0,0
1903,0.7212399039511022,-1.0,0.709090909090909,-1,0.41935483870967727,-0.33333333333333326,1.0,-1,-1,-0.06060606060606055,-0.5,0,0,0,0,0,0,0
1874,0.38521429091173665,-1.0,0.38181818181818183,-1,-0.3548387096774195,0.3333333333333335,1.0,-1,-1,-0.33333333333333326,1.0,0,0,0,0,0,0,0
311,-0.14658371534599446,-0.9798918350855168,-0.1636363636363637,-1,0.29032258064516125,0.3333333333333335,0.0,0,1,-0.48484848484848464,0.5,1,0,1,0,0,1,0
1956,0.4934148293676779,-1.0,0.49090909090909074,-1,-0.935483870967742,1.0,0.0,0,1,0.7878787878787881,1.0,0,0,1,1,0,1,1
1530,0.7456887142545294,-1.0,0.7454545454545454,-1,0.9354838709677418,0.3333333333333335,1.0,-1,-1,-0.7575757575757575,0.0,0,0,0,0,0,0,0
430,-0.56094011496762,-0.8032293079416173,-0.5636363636363637,-1,0.29032258064516125,-0.9999999999999999,0.0,0,1,0.4545454545454546,-1.0,0,0,1,0,0,1,1
1313,0.8437386305755656,-1.0,0.8181818181818181,-1,0.29032258064516125,0.3333333333333335,1.0,-1,-1,0.060606060606060774,0.5,0,0,0,0,1,0,0
281,0.7153459943243832,-0.8806008106710724,0.709090909090909,-1,0.41935483870967727,-0.9999999999999999,0.0,0,1,-0.303030303030303,-0.5,0,0,1,0,0,1,1
2072,-0.5977588590555193,-0.8860144120922288,-0.6000000000000001,-1,0.29032258064516125,0.3333333333333335,1.0,-1,-1,0.12121212121212133,0.5,1,0,0,0,1,0,0
586,0.3868878701884595,-0.4346452394702859,0.38181818181818183,-1,-0.3548387096774195,0.3333333333333335,1.0,-1,-1,0.12121212121212133,-0.5,1,0,0,1,1,0,1
647,-0.23670232118169265,0.11533493966108832,-0.23636363636363644,-1,0.41935483870967727,1.0,1.0,-1,-1,-0.5151515151515151,-0.5,1,0,1,1,0,1,1
1876,-0.27184748599286923,-1.0,-0.2727272727272728,-1,0.35483870967741926,0.3333333333333335,1.0,-1,-1,-0.2727272727272725,0.5,1,0,0,0,0,0,0
