,COUNTY,F2,WWWEDU5,WWWAGE,W1STATE,CENSDIV,CENSREGN,STRATA,WWWWHITE,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
349,-0.23531979917048695,1.0,-0.5,-0.9999999999999999,-0.23636363636363644,0.41935483870967727,0.3333333333333335,0.0,-1,0,0,0,0,1,0,1
3309,-0.38201266099105013,1.0,-0.5,-0.18181818181818166,-0.38181818181818183,-0.3548387096774195,-0.33333333333333326,1.0,1,1,0,1,1,1,1,1
1269,0.5998690242305171,1.0,0.0,0.1515151515151516,0.5999999999999999,0.29032258064516125,0.3333333333333335,1.0,-1,0,0,0,0,1,0,0
915,-0.08644400785854633,0.3333333333333335,0.0,-0.45454545454545436,-0.09090909090909094,-0.3548387096774195,-0.33333333333333326,1.0,1,0,0,1,1,1,1,1
1165,-0.16444735501709973,0.3333333333333335,0.0,-0.5454545454545454,-0.1636363636363637,0.29032258064516125,0.3333333333333335,1.0,1,1,0,1,1,1,1,1
304,-0.41868587644619093,0.3333333333333335,1.0,0.3333333333333335,-0.4181818181818182,-0.3548387096774195,-0.33333333333333326,0.0,-1,0,0,0,1,1,0,1
2769,-0.08644400785854633,-0.9999999999999999,0.0,0.060606060606060774,-0.09090909090909094,-0.3548387096774195,-0.33333333333333326,0.0,-1,1,0,0,1,1,0,1
1352,0.9675471148948556,1.0,0.5,-0.5151515151515151,0.9636363636363636,-0.3548387096774195,-0.33333333333333326,1.0,1,1,0,1,1,1,1,1
1154,0.4209415702539472,1.0,0.0,0.7272727272727275,0.4181818181818182,0.41935483870967727,0.3333333333333335,1.0,1,1,0,1,1,1,1,1
1565,0.6019064250891362,0.3333333333333335,0.5,-0.09090909090909083,0.5999999999999999,0.29032258064516125,0.3333333333333335,1.0,1,0,0,1,1,1,1,1
2017,0.02022847995343069,1.0,0.5,-0.606060606060606,0.018181818181818077,-0.29032258064516125,-0.33333333333333326,0.0,1,0,0,1,1,1,1,1
111,0.7090882631157678,-0.33333333333333326,-0.5,-0.7878787878787877,0.709090909090909,0.41935483870967727,0.3333333333333335,-1.0,1,0,0,0,0,0,0,0
611,-0.30866623008076854,1.0,1.0,-0.09090909090909083,-0.3090909090909091,-0.29032258064516125,-0.33333333333333326,1.0,1,1,0,1,1,1,1,1
1753,-0.09102815979043888,0.3333333333333335,0.5,-0.33333333333333326,-0.09090909090909094,-0.3548387096774195,-0.33333333333333326,1.0,1,1,0,1,1,1,1,1
1112,0.31172233136869654,1.0,1.0,0.24242424242424265,0.3090909090909091,0.29032258064516125,0.3333333333333335,1.0,1,0,0,1,1,1,1,1
2247,0.7158553445390379,0.3333333333333335,1.0,-0.1212121212121211,0.709090909090909,0.41935483870967727,0.3333333333333335,-1.0,-1,0,0,0,0,0,0,0
1881,-0.41657571127119275,0.3333333333333335,0.5,0.666666666666667,-0.4181818181818182,-0.3548387096774195,-0.33333333333333326,1.0,1,0,0,1,1,1,1,1
1552,-0.8164156297751584,1.0,-0.5,0.5454545454545454,-0.8181818181818182,0.9999999999999998,1.0,1.0,1,1,0,1,1,0,1,0
1347,-0.6744524485192462,1.0,0.0,-0.2424242424242422,-0.6727272727272727,0.29032258064516125,0.3333333333333335,1.0,1,0,0,1,1,1,1,1
1656,0.7463435931019426,0.3333333333333335,0.0,-0.6666666666666665,0.7454545454545454,0.9354838709677418,1.0,1.0,1,0,0,1,0,1,1,1
1168,0.4904314923961288,0.3333333333333335,-0.5,-0.4242424242424241,0.49090909090909074,-0.935483870967742,-0.9999999999999999,1.0,1,0,0,1,1,1,1,0
3077,0.38608746270828775,0.3333333333333335,-0.5,0.09090909090909105,0.38181818181818183,-0.3548387096774195,-0.33333333333333326,1.0,1,0,0,1,1,1,1,1
668,0.9294913774285087,-0.9999999999999999,-0.5,-0.18181818181818166,0.9272727272727272,0.29032258064516125,0.3333333333333335,1.0,-1,0,0,0,0,1,0,0
1508,0.3866695772393216,1.0,0.5,0.060606060606060774,0.38181818181818183,-0.3548387096774195,-0.33333333333333326,1.0,1,0,0,1,1,1,1,1
