,COUNTY,P17_A,W1AGE,WWWBLACK,W1STATE,STRATA,F3,CD2,P1,X1,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1956,0.4934148293676779,0.7142857142857144,0.7878787878787881,1,0.49090909090909074,0.0,1.0,-0.7272727272727273,-0.5,-0.9591836734693877,0,0,0,0,0,0,0
1530,0.7456887142545294,0.7142857142857144,-0.7575757575757575,-1,0.7454545454545454,1.0,0.3333333333333335,0.8181818181818183,-1.0,-0.9183673469387755,0,0,0,1,0,0,0
430,-0.56094011496762,1.0,0.4545454545454546,1,-0.5636363636363637,0.0,-0.9999999999999999,-0.4545454545454546,-1.0,-0.9795918367346939,0,0,0,0,1,0,0
1313,0.8437386305755656,-0.9999999999999999,0.060606060606060774,-1,0.8181818181818181,1.0,-0.9999999999999999,-0.06060606060606055,-1.0,-0.9387755102040817,0,0,0,1,1,0,0
281,0.7153459943243832,-0.9999999999999999,-0.303030303030303,1,0.709090909090909,0.0,-0.9999999999999999,0.303030303030303,-1.0,-0.9183673469387755,0,0,0,0,0,0,0
2072,-0.5977588590555193,0.7142857142857144,0.12121212121212133,-1,-0.6000000000000001,1.0,0.3333333333333335,-0.1212121212121211,-1.0,-0.9591836734693877,1,0,0,1,1,0,0
586,0.3868878701884595,-0.9999999999999999,0.12121212121212133,-1,0.38181818181818183,1.0,0.3333333333333335,-0.1212121212121211,-1.0,-0.9795918367346939,1,0,0,1,1,0,0
647,-0.23670232118169265,-0.9999999999999999,-0.5151515151515151,-1,-0.23636363636363644,1.0,0.3333333333333335,0.5151515151515151,-1.0,-0.9591836734693877,1,0,0,1,0,0,0
1876,-0.27184748599286923,-0.1428571428571428,-0.2727272727272725,-1,-0.2727272727272728,1.0,0.3333333333333335,0.33333333333333326,-1.0,-0.9387755102040817,1,0,0,1,1,0,0
1134,-0.6005239030779307,-0.9999999999999999,-0.6666666666666665,-1,-0.6000000000000001,1.0,-0.33333333333333326,0.6666666666666665,-1.0,0.9999999999999998,0,0,1,1,0,0,0
2027,0.8426471658298769,-0.1428571428571428,-0.33333333333333326,1,0.8181818181818181,0.0,-0.33333333333333326,0.39393939393939403,-0.5,-0.9591836734693877,1,0,0,0,0,0,0
1622,0.9651458924543403,-0.9999999999999999,-0.09090909090909083,-1,0.9636363636363636,1.0,1.0,0.1515151515151516,-1.0,-0.9795918367346939,0,0,0,1,0,0,0
1132,-0.37888379538674244,-0.1428571428571428,0.21212121212121238,-1,-0.38181818181818183,1.0,-0.33333333333333326,-0.21212121212121215,-1.0,-0.9795918367346939,0,0,0,1,1,0,0
2800,0.8408280579203957,-0.1428571428571428,0.030303030303030498,-1,0.8181818181818181,0.0,0.3333333333333335,0.030303030303030276,-1.0,-0.9183673469387755,1,0,0,1,1,0,0
1447,-0.3099032234592157,-0.9999999999999999,-0.9696969696969696,-1,-0.3090909090909091,1.0,0.3333333333333335,0.9696969696969697,-0.5,-0.9591836734693877,0,0,0,1,0,0,0
1604,-0.7444517208760825,-0.9999999999999999,-0.2727272727272725,-1,-0.7454545454545455,1.0,1.0,0.33333333333333326,-1.0,-0.9591836734693877,1,0,0,1,0,0,0
642,0.49072254966164564,-0.9999999999999999,-0.5151515151515151,-1,0.49090909090909074,1.0,0.3333333333333335,0.5151515151515151,-1.0,-0.9591836734693877,0,0,0,1,0,0,0
2712,-0.6380702903296225,0.7142857142857144,0.4242424242424243,1,-0.6363636363636365,0.0,-0.9999999999999999,-0.36363636363636376,-0.5,-0.9183673469387755,0,0,0,0,1,0,0
220,-0.6008149603434476,-0.1428571428571428,-0.6969696969696968,-1,-0.6000000000000001,-1.0,0.3333333333333335,0.6969696969696968,-1.0,-0.9387755102040817,0,0,1,1,0,0,0
164,0.7158553445390379,0.7142857142857144,0.09090909090909105,-1,0.709090909090909,-1.0,-0.33333333333333326,-0.09090909090909083,-1.0,-0.9183673469387755,0,0,1,1,1,0,0
1256,0.4202139270901548,-0.9999999999999999,-0.09090909090909083,-1,0.4181818181818182,1.0,0.3333333333333335,0.09090909090909083,-1.0,-0.9795918367346939,0,0,0,1,1,0,0
2059,0.02022847995343069,0.7142857142857144,-0.3939393939393938,1,0.018181818181818077,0.0,-0.33333333333333326,0.4545454545454546,-0.5,-0.9387755102040817,0,0,0,0,0,0,0
1111,-0.20104780615586126,-0.1428571428571428,-0.45454545454545436,-1,-0.20000000000000007,1.0,0.3333333333333335,0.4545454545454546,-1.0,-0.9795918367346939,0,0,0,1,0,0,0
1073,0.0914647456887141,-0.9999999999999999,0.4545454545454546,-1,0.09090909090909083,1.0,-0.33333333333333326,-0.4545454545454546,-1.0,-0.9591836734693877,0,0,0,1,1,0,0
