,COUNTY,WWWRACE4,WWWAGEC1,W1STATE,HISWT1RV,STRATA,CENSDIV,CL2,WWWEDU3,RHWT2CC,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
311,-0.14658371534599446,-0.33333333333333326,-0.33333333333333326,-0.1636363636363637,-0.9932659067586563,0.0,0.29032258064516125,0.1428571428571428,1.0,-0.9938049693751128,1,0,1,1,0,1,1
1956,0.4934148293676779,-0.33333333333333326,0.9999999999999998,0.49090909090909074,-1.0,0.0,-0.935483870967742,0.1428571428571428,1.0,-0.9413330630384245,0,0,0,1,0,1,1
1530,0.7456887142545294,-0.9999999999999999,-0.6666666666666666,0.7454545454545454,-1.0,1.0,0.9354838709677418,-0.9999999999999999,0.0,-0.5604380712420982,0,0,1,0,0,1,1
430,-0.56094011496762,-0.33333333333333326,0.9999999999999998,-0.5636363636363637,-0.9581517808432687,0.0,0.29032258064516125,-0.9999999999999999,-1.0,-0.9461727852270598,0,0,1,1,1,1,1
1313,0.8437386305755656,-0.9999999999999999,0.33333333333333326,0.8181818181818181,-0.41981786785016906,1.0,0.29032258064516125,0.1428571428571428,1.0,-1.0,0,0,0,0,0,1,1
281,0.7153459943243832,-0.33333333333333326,0.0,0.709090909090909,-0.9746067699925821,0.0,0.41935483870967727,-0.9999999999999999,0.0,-0.9673379925614024,0,0,1,1,0,1,1
2072,-0.5977588590555193,-0.9999999999999999,0.33333333333333326,-0.6000000000000001,-0.9305901977352843,1.0,0.29032258064516125,-0.9999999999999999,1.0,-0.9861572704098943,1,0,1,0,0,1,1
586,0.3868878701884595,-0.9999999999999999,0.33333333333333326,0.38181818181818183,-0.5105875932525171,1.0,-0.3548387096774195,-0.9999999999999999,0.0,-0.9319575984337829,1,0,1,0,0,1,1
647,-0.23670232118169265,-0.9999999999999999,-0.33333333333333326,-0.23636363636363644,-0.3265262784855655,1.0,0.41935483870967727,0.1428571428571428,0.0,-0.8647221230933669,1,0,1,0,0,1,1
1876,-0.27184748599286923,-0.9999999999999999,0.0,-0.2727272727272728,-1.0,1.0,0.35483870967741926,-0.9999999999999999,1.0,-0.9534642865146779,1,0,1,0,0,1,1
1134,-0.6005239030779307,-0.9999999999999999,-0.33333333333333326,-0.6000000000000001,-0.42206591716626685,1.0,0.29032258064516125,0.1428571428571428,0.0,-0.8839127745891938,0,0,1,0,0,1,1
2027,0.8426471658298769,-0.33333333333333326,0.0,0.8181818181818181,-1.0,0.0,0.29032258064516125,-0.9999999999999999,0.0,-0.8874588723981688,1,0,1,1,0,1,1
1622,0.9651458924543403,-0.9999999999999999,0.33333333333333326,0.9636363636363636,-1.0,1.0,-0.3548387096774195,0.1428571428571428,0.0,-0.8418698457392155,0,0,1,1,0,1,1
1132,-0.37888379538674244,-0.9999999999999999,0.6666666666666667,-0.38181818181818183,-0.8647091206785088,1.0,-0.3548387096774195,0.1428571428571428,1.0,-0.9808186827241111,0,0,1,0,0,1,1
2800,0.8408280579203957,-0.9999999999999999,0.33333333333333326,0.8181818181818181,-1.0,0.0,0.29032258064516125,0.1428571428571428,1.0,-0.9982327992892815,1,0,1,1,0,1,1
1447,-0.3099032234592157,-0.9999999999999999,-1.0,-0.3090909090909091,0.013088459247526218,1.0,-0.29032258064516125,0.1428571428571428,0.0,-0.859151564578477,0,0,1,0,0,1,1
1604,-0.7444517208760825,-0.9999999999999999,0.0,-0.7454545454545455,-1.0,1.0,0.9354838709677418,-0.9999999999999999,0.0,-0.9130691807854834,1,0,1,0,0,1,1
642,0.49072254966164564,-0.9999999999999999,-0.33333333333333326,0.49090909090909074,-0.3922919992010937,1.0,-0.935483870967742,0.1428571428571428,0.0,-0.8937603099165219,0,0,1,1,0,1,1
2712,-0.6380702903296225,-0.33333333333333326,0.9999999999999998,-0.6363636363636365,-1.0,0.0,0.29032258064516125,-0.9999999999999999,0.0,-0.9883851811850538,0,0,1,1,0,1,1
220,-0.6008149603434476,-0.9999999999999999,-0.33333333333333326,-0.6000000000000001,-0.9978205371974769,-1.0,0.29032258064516125,-0.9999999999999999,1.0,-1.0,0,0,1,1,0,1,1
164,0.7158553445390379,0.3333333333333335,0.33333333333333326,0.709090909090909,-0.9485459368224425,-1.0,0.41935483870967727,0.1428571428571428,1.0,-1.0,0,0,1,1,0,1,1
1256,0.4202139270901548,-0.9999999999999999,0.33333333333333326,0.4181818181818182,-0.5986530239437698,1.0,0.41935483870967727,-0.9999999999999999,1.0,-0.9348136952121491,0,0,1,0,0,1,1
2059,0.02022847995343069,-0.33333333333333326,0.0,0.018181818181818077,-1.0,0.0,-0.29032258064516125,-0.9999999999999999,0.0,-0.7676444745364976,0,0,1,1,0,1,1
1111,-0.20104780615586126,1.0,-0.33333333333333326,-0.20000000000000007,-0.9288821230438024,1.0,-1.0,0.1428571428571428,1.0,-1.0,0,0,0,0,0,0,1
1073,0.0914647456887141,-0.9999999999999999,0.9999999999999998,0.09090909090909083,-0.7575993270506505,1.0,-0.29032258064516125,0.1428571428571428,0.0,-0.9662993342601103,0,0,1,1,0,1,1
1870,0.490795313978025,-0.9999999999999999,-0.33333333333333326,0.49090909090909074,-1.0,1.0,-0.935483870967742,-0.9999999999999999,1.0,-0.941352273429188,0,0,1,0,0,1,1
593,-0.560066943171069,1.0,0.0,-0.5636363636363637,-0.5978409577992234,1.0,0.29032258064516125,0.1428571428571428,1.0,-0.948318632098222,1,0,1,0,0,0,1
1345,-0.9622717019573602,-0.33333333333333326,-0.6666666666666666,-0.9636363636363636,-0.05753419003238591,1.0,0.9999999999999998,-0.9999999999999999,0.0,-0.8623532353937369,0,0,1,0,0,1,1
808,-0.08782652986975203,-0.9999999999999999,0.33333333333333326,-0.09090909090909094,-0.40699369616099057,1.0,-0.3548387096774195,-0.9999999999999999,0.0,-0.9090236885197258,1,0,1,0,0,1,1
2044,-0.08644400785854633,-0.33333333333333326,-0.33333333333333326,-0.09090909090909094,-1.0,0.0,-0.3548387096774195,0.1428571428571428,0.0,-0.9964026990665353,0,0,1,1,0,1,1
1411,0.38419559048242724,-0.9999999999999999,0.0,0.38181818181818183,-0.3606177829936298,1.0,-0.3548387096774195,-0.9999999999999999,0.0,-0.9072661237337023,1,0,1,0,0,1,1
1510,0.05420941570253923,-0.9999999999999999,-0.6666666666666666,0.05454545454545445,-1.0,1.0,0.9354838709677418,0.1428571428571428,1.0,-0.7229479366394148,0,0,1,0,0,1,1
1655,-0.41868587644619093,-0.9999999999999999,0.9999999999999998,-0.4181818181818182,-1.0,1.0,-0.3548387096774195,-0.9999999999999999,0.0,-0.8881834618570124,1,0,1,0,0,1,1
160,0.7158553445390379,-0.9999999999999999,0.9999999999999998,0.709090909090909,-0.9541500654051123,-1.0,0.41935483870967727,-0.9999999999999999,0.0,-0.9892274071382018,0,0,1,1,0,1,1
1275,-0.9978170705086227,-0.9999999999999999,-0.33333333333333326,-1.0,-0.37964834663623603,1.0,0.35483870967741926,-0.9999999999999999,1.0,-1.0,0,0,1,0,0,1,1
883,0.27468529433165956,-0.9999999999999999,0.33333333333333326,0.2727272727272727,-0.2530875501435007,1.0,-0.935483870967742,-0.9999999999999999,0.0,-0.8329874248187665,1,0,1,0,0,1,1
2479,-0.41868587644619093,-0.9999999999999999,0.9999999999999998,-0.4181818181818182,-1.0,-1.0,-0.3548387096774195,0.1428571428571428,0.0,-0.9992256837431992,0,0,1,1,0,1,1
1146,0.19944699119551745,-0.9999999999999999,-0.33333333333333326,0.19999999999999996,-0.681787498736274,1.0,-0.935483870967742,0.1428571428571428,1.0,-0.9371872343049864,1,0,0,1,0,1,1
1096,0.3096849305100777,-0.9999999999999999,0.33333333333333326,0.3090909090909091,-0.42206591716626685,1.0,0.29032258064516125,0.1428571428571428,0.0,-0.8839127745891938,1,0,1,0,0,1,1
874,0.23510150622134884,0.3333333333333335,-0.33333333333333326,0.23636363636363633,0.2196524561169788,1.0,0.9354838709677418,-0.9999999999999999,0.0,-1.0,0,0,1,0,0,1,1
663,0.45477697737029743,-0.9999999999999999,0.0,0.45454545454545436,-0.5547272996916643,1.0,0.9999999999999998,-0.9999999999999999,0.0,-1.0,0,0,1,0,0,1,1
1056,0.09102815979043855,-0.9999999999999999,-0.33333333333333326,0.09090909090909083,-0.7319675615957726,1.0,-0.29032258064516125,-0.9999999999999999,1.0,-0.9619988038583652,1,0,1,0,0,1,1
2068,-0.560358000436586,-0.9999999999999999,0.0,-0.5636363636363637,-0.7110329585833238,1.0,0.29032258064516125,0.1428571428571428,0.0,-1.0,0,0,1,0,0,1,1
2753,-0.562104344029688,-0.33333333333333326,-0.33333333333333326,-0.5636363636363637,-1.0,0.0,0.29032258064516125,-0.9999999999999999,1.0,-0.9794450247590679,0,0,1,1,0,1,1
1793,0.49297824346940233,-0.9999999999999999,-0.6666666666666666,0.49090909090909074,-1.0,1.0,-0.935483870967742,0.1428571428571428,0.0,-0.46161326288810856,0,0,1,1,0,1,1
878,-0.8189623808484321,-0.9999999999999999,0.9999999999999998,-0.8181818181818182,-0.09486364045011841,1.0,0.9999999999999998,0.1428571428571428,0.0,-1.0,0,0,1,0,0,1,1
984,-0.8511242086880595,-0.9999999999999999,-0.6666666666666666,-0.8545454545454545,-0.3265262784855655,1.0,0.41935483870967727,0.1428571428571428,0.0,-0.8647221230933669,0,0,1,0,0,1,1
968,0.4934148293676779,-0.9999999999999999,-0.33333333333333326,0.49090909090909074,-0.12632172707058775,1.0,-0.935483870967742,0.1428571428571428,0.0,-0.8584109453734632,1,0,0,1,0,1,1
1039,0.09037328094302532,-0.9999999999999999,-0.33333333333333326,0.09090909090909083,-0.4125807800041852,1.0,-0.29032258064516125,0.1428571428571428,0.0,-1.0,0,0,1,1,0,1,1
1242,0.8921632831259547,-0.9999999999999999,0.33333333333333326,0.8909090909090909,-0.6138590806292126,1.0,0.9999999999999998,0.1428571428571428,1.0,-1.0,0,0,1,0,0,1,1
2345,0.7090882631157678,-0.33333333333333326,0.9999999999999998,0.709090909090909,-1.0,-1.0,0.41935483870967727,-0.9999999999999999,-1.0,-0.968032442938215,0,0,1,1,1,1,1
1667,0.01746343593101929,-0.9999999999999999,0.33333333333333326,0.018181818181818077,-1.0,1.0,-0.29032258064516125,-0.9999999999999999,1.0,-0.9505453150037337,1,0,1,0,0,1,1
682,0.018409372043949546,-0.9999999999999999,-0.33333333333333326,0.018181818181818077,-0.7319675615957726,1.0,-0.29032258064516125,0.1428571428571428,1.0,-0.9619988038583652,0,0,1,0,0,1,1
1069,-0.6011787819253439,-0.9999999999999999,0.9999999999999998,-0.6000000000000001,-0.7110329585833238,1.0,0.29032258064516125,-0.9999999999999999,-1.0,-1.0,0,0,1,0,1,1,1
1314,-0.3773557447427782,-0.9999999999999999,0.33333333333333326,-0.38181818181818183,-0.6109586705062244,1.0,-0.3548387096774195,-0.9999999999999999,1.0,-0.9342395794212637,1,0,1,0,0,1,1
