,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10
2339,2.306031507216318,2.31895647499373,-0.6626748651142469,1.091846660135973,-0.8328814975645376,1.3219130057258488,-0.6984896708791511,-0.13767047922568065,-1.1332256402728438,-0.6237706545679337
508,2.0135969736624917,-0.42687474740819337,-1.0761460381721863,-2.984530545623243,0.5590573615467872,-0.6959540720532512,0.7332181598387187,0.1900712764412241,-0.05332340728142233,-1.028638135773494
1973,1.7976609959340393,0.580151770802528,1.5471022481276455,-1.1613011669248476,-0.40558433206080263,-1.29412378086371,-0.7526239752896451,1.1713267387343747,0.19103429086814924,0.1951982990268814
2032,0.4539104174137156,0.40389089215962837,2.8588562336200214,-1.7569733005473287,0.22992290924005998,-0.856220104278565,0.03452606873338747,-0.35954032641129885,-0.3484124877804086,0.17603950591177003
868,-0.32116335293423676,-1.860399793906474,-2.2142157584595052,-0.39995940756895487,1.2580929416040152,-0.8281913576130253,0.24051501506782966,-0.3146996773666586,-0.8786295435435805,-0.38342581248936314
1753,-1.7640064837473717,0.9006624221045565,1.2177766904950287,0.13040952526378416,-0.3367788039736978,-1.542005212638311,-0.8794696976720822,1.0053152672005667,-0.24937644170874035,0.6139606521756475
2803,1.8921064107488779,0.052541157706148284,0.5279920714310803,-1.9188603636538133,-1.2548749608295966,-1.3214499970590137,-0.8448279417821827,0.9322376409060319,0.21760644843775062,0.48248500789253057
3168,-1.6153381786211976,1.342085475952674,-0.15350718196003282,-0.7332500548579761,-0.30655921295157024,1.1027517713014272,-0.9136426038088734,-0.947306101499469,0.6191991188313021,0.056820585570215326
1677,-0.8621304385155278,1.2085565416596,-1.8112758524197807,-1.5415428011247456,0.6250406077316425,-0.9915745974263279,0.9211300808017572,-0.3740308158894886,-0.7920151153023685,1.2023938971231438
1778,-0.8461539298071228,1.0833200413501385,-1.9769519557044204,-1.4280608848399323,0.997459727378844,0.8677915081716174,0.7037344077168795,0.07430711315877944,-0.9875887128325364,1.5509145672013966
545,2.95612224506059,-2.0647616317970376,-0.06799944642032221,0.19489686420965566,-1.2816157705503957,-0.2710709665899308,-0.1849034298026973,-0.4862071738478338,-0.908990554564821,-1.230708940661645
428,2.6224070056444964,-2.786596769529998,-1.0129189603385143,-1.0837502955395342,-0.6672583893440545,0.9337324484535682,-1.10403920376777,1.7430121099118419,0.7395880593231698,-0.08972452840593628
1652,1.9115450940957726,2.576829844354225,-0.8492161371258434,0.11878635770054488,0.8929719574964037,-0.7202557258376807,-0.36221578441221425,-0.22229541234441905,0.12193820767041857,-0.43924927775794487
1070,-1.3061877666170274,0.13865251840233073,-0.08061855104166218,0.3160261552901695,-0.9261843866592071,1.2485945589887621,1.4185242549790067,0.810990779076419,0.9591042521540362,-0.4683010076532147
2050,1.852238182682157,0.4120865443188883,0.5235895176405773,-2.0328593804644624,-1.1021840466690784,-1.3509224274719815,-0.7416158302494197,1.054396494725089,0.27245298335477,0.4142792455425023
1851,-0.6908793339254035,1.26239624039665,-1.1697944317104256,-0.1149839184773046,-1.4880931703274594,1.1643929226016776,1.6545134598905538,0.12208536883654468,0.44053434127899177,1.731015678103391
46,-0.7819007205134771,-1.8469058723969927,-0.8923565072245921,0.7259373749492011,0.32806144248866953,-0.517177044120999,-0.9866925525425784,-1.616811075626796,0.6403145612692991,-0.2835516244812644
1040,-0.9460396423243251,-2.174283833311929,0.4182485902395722,1.997754921319563,-0.7240699968701131,-0.5209782268253781,-0.3695656475602685,-0.7018941722359819,-1.5405937042795002,-0.7024958940874553
2929,0.5572006022332007,0.18534236592555578,2.3442014328756033,-2.173112194574512,1.457450102652033,-0.9783879254695087,0.5450736859020912,-0.325674760500187,-1.1929827354792875,0.0823752111922713
893,-1.028195788349133,-2.307696808900743,0.2579669958875282,1.7085161793879962,0.5032083900762653,-1.127036127512751,-0.727087511667752,0.6376909192422348,-0.18415048990948307,1.8854752231336052
586,-1.1257779276042816,0.1967705381015429,-1.3849700264964762,-0.7372304471572214,-0.29365199285488325,-0.5108878008174493,-0.46766500449948767,-0.8283869562707226,1.6616083920542217,-1.1819276253646682
1768,-0.9948052082428624,1.060028444132935,-1.0727863961841497,-0.9593821098232048,-0.8103288276586702,-0.7526082641447118,-0.7640112889403997,-1.4774931386226453,0.8322642356169837,-0.1928265583510929
