,Unnamed: 0,Data Type,Data Transformation,X_train Size,X_test Size,Classifiers,Training Accuracy,Accuracy,Weighted F1,Cohen Kappa,Data Augmentation Methods,GAN,seed
323,323,umap,oneW,"(576, 2)","(226, 2)",xgb,0.9427,0.6018,0.6625,-0.031,editNN,True,1
324,324,umap,oneW,"(360, 2)","(226, 2)",naive,0.5,0.6549,0.7914,0.0,tomkLink,False,1
325,325,umap,oneW,"(360, 2)","(226, 2)",MLP,0.6028,0.4779,0.5091,0.1137,tomkLink,False,1
326,326,umap,oneW,"(360, 2)","(226, 2)",logisticRegression,0.5306,0.4425,0.4994,0.0834,tomkLink,False,1
327,327,umap,oneW,"(360, 2)","(226, 2)",decisionTree,0.8083,0.4823,0.4914,0.0805,tomkLink,False,1
328,328,umap,oneW,"(360, 2)","(226, 2)",randomForest,0.75,0.5088,0.5174,0.1277,tomkLink,False,1
329,329,umap,oneW,"(360, 2)","(226, 2)",xgb,0.9028,0.5487,0.541,0.142,tomkLink,False,1
330,330,umap,oneW,"(1080, 2)","(226, 2)",naive,0.5,0.6549,0.7914,0.0,tomkLink,True,1
331,331,umap,oneW,"(1080, 2)","(226, 2)",MLP,0.7222,0.4956,0.4896,0.0558,tomkLink,True,1
332,332,umap,oneW,"(1080, 2)","(226, 2)",logisticRegression,0.5963,0.6018,0.6309,0.0309,tomkLink,True,1
333,333,umap,oneW,"(1080, 2)","(226, 2)",decisionTree,0.875,0.4912,0.5039,0.105,tomkLink,True,1
334,334,umap,oneW,"(1080, 2)","(226, 2)",randomForest,0.8574,0.4381,0.4732,0.0483,tomkLink,True,1
335,335,umap,oneW,"(1080, 2)","(226, 2)",xgb,0.7852,0.4381,0.4373,-0.0281,tomkLink,True,1
336,336,umap,oneW,"(166, 2)","(226, 2)",naive,0.5,0.6549,0.7914,0.0,smoteNN,False,1
337,337,umap,oneW,"(166, 2)","(226, 2)",MLP,0.5,0.3451,0.5132,0.0,smoteNN,False,1
338,338,umap,oneW,"(166, 2)","(226, 2)",logisticRegression,0.5241,0.6549,0.7914,0.0,smoteNN,False,1
339,339,umap,oneW,"(166, 2)","(226, 2)",decisionTree,0.6687,0.6549,0.7914,0.0,smoteNN,False,1
340,340,umap,oneW,"(166, 2)","(226, 2)",randomForest,0.8554,0.6549,0.7914,0.0,smoteNN,False,1
341,341,umap,oneW,"(166, 2)","(226, 2)",xgb,0.9699,0.6549,0.7914,0.0,smoteNN,False,1
342,342,umap,oneW,"(498, 2)","(226, 2)",naive,0.5,0.6549,0.7914,0.0,smoteNN,True,1
343,343,umap,oneW,"(498, 2)","(226, 2)",MLP,0.8072,0.5398,0.5385,-0.0119,smoteNN,True,1
344,344,umap,oneW,"(498, 2)","(226, 2)",logisticRegression,0.7871,0.4735,0.4649,0.0016,smoteNN,True,1
345,345,umap,oneW,"(498, 2)","(226, 2)",decisionTree,0.9538,0.5708,0.59,-0.0141,smoteNN,True,1
346,346,umap,oneW,"(498, 2)","(226, 2)",randomForest,0.9518,0.5177,0.517,-0.0637,smoteNN,True,1
347,347,umap,oneW,"(498, 2)","(226, 2)",xgb,0.9759,0.5708,0.6037,-0.048,smoteNN,True,1
348,348,umap,oneW,"(552, 2)","(226, 2)",naive,0.5,0.6549,0.7914,0.0,smoteTomek,False,1
349,349,umap,oneW,"(552, 2)","(226, 2)",MLP,0.538,0.6549,0.7914,0.0,smoteTomek,False,1
350,350,umap,oneW,"(552, 2)","(226, 2)",logisticRegression,0.5616,0.4646,0.5041,0.1016,smoteTomek,False,1
351,351,umap,oneW,"(552, 2)","(226, 2)",decisionTree,0.6413,0.469,0.5008,0.0986,smoteTomek,False,1
352,352,umap,oneW,"(552, 2)","(226, 2)",randomForest,0.837,0.3451,0.4647,-0.0302,smoteTomek,False,1
353,353,umap,oneW,"(552, 2)","(226, 2)",xgb,0.7826,0.3717,0.4446,-0.0237,smoteTomek,False,1
354,354,umap,oneW,"(1656, 2)","(226, 2)",naive,0.5,0.6549,0.7914,0.0,smoteTomek,True,1
355,355,umap,oneW,"(1656, 2)","(226, 2)",MLP,0.7325,0.4912,0.4982,0.0918,smoteTomek,True,1
356,356,umap,oneW,"(1656, 2)","(226, 2)",logisticRegression,0.6824,0.4912,0.4982,0.0918,smoteTomek,True,1
357,357,umap,oneW,"(1656, 2)","(226, 2)",decisionTree,0.9233,0.4071,0.4231,-0.0404,smoteTomek,True,1
358,358,umap,oneW,"(1656, 2)","(226, 2)",randomForest,0.93,0.4425,0.4359,-0.0435,smoteTomek,True,1
359,359,umap,oneW,"(1656, 2)","(226, 2)",xgb,0.9058,0.5221,0.5156,0.1009,smoteTomek,True,1
360,360,pca_umap,,"(2184, 2)","(684, 2)",naive,0.5,0.6915,0.8176,0.0,smote,False,1
361,361,pca_umap,,"(2184, 2)","(684, 2)",MLP,0.7024,0.4912,0.4724,0.0015,smote,False,1
362,362,pca_umap,,"(2184, 2)","(684, 2)",logisticRegression,0.6094,0.6316,0.6394,0.1035,smote,False,1
363,363,pca_umap,,"(2184, 2)","(684, 2)",decisionTree,0.8672,0.5526,0.5439,-0.0013,smote,False,1
364,364,pca_umap,,"(2184, 2)","(684, 2)",randomForest,0.8581,0.5556,0.539,0.0855,smote,False,1
365,365,pca_umap,,"(2184, 2)","(684, 2)",xgb,0.8196,0.5307,0.5149,0.0057,smote,False,1
366,366,pca_umap,,"(6552, 2)","(684, 2)",naive,0.5,0.6915,0.8176,0.0,smote,True,1
367,367,pca_umap,,"(6552, 2)","(684, 2)",MLP,0.801,0.5146,0.4964,0.0411,smote,True,1
368,368,pca_umap,,"(6552, 2)","(684, 2)",logisticRegression,0.6941,0.4693,0.4582,0.0318,smote,True,1
369,369,pca_umap,,"(6552, 2)","(684, 2)",decisionTree,0.9373,0.5453,0.5292,0.048,smote,True,1
370,370,pca_umap,,"(6552, 2)","(684, 2)",randomForest,0.942,0.5102,0.4916,0.0138,smote,True,1
371,371,pca_umap,,"(6552, 2)","(684, 2)",xgb,0.8767,0.4956,0.4828,-0.1081,smote,True,1
372,372,pca_umap,,"(1044, 2)","(684, 2)",naive,0.5,0.6915,0.8176,0.0,editNN,False,1
373,373,pca_umap,,"(1044, 2)","(684, 2)",MLP,0.8688,0.2968,0.2879,-0.2572,editNN,False,1
374,374,pca_umap,,"(1044, 2)","(684, 2)",logisticRegression,0.8084,0.3275,0.3193,-0.2011,editNN,False,1
375,375,pca_umap,,"(1044, 2)","(684, 2)",decisionTree,0.886,0.3392,0.3311,-0.1802,editNN,False,1
376,376,pca_umap,,"(1044, 2)","(684, 2)",randomForest,0.8956,0.2909,0.3153,-0.178,editNN,False,1
377,377,pca_umap,,"(1044, 2)","(684, 2)",xgb,0.8946,0.2924,0.3161,-0.1767,editNN,False,1
378,378,pca_umap,,"(3132, 2)","(684, 2)",naive,0.5,0.6915,0.8176,0.0,editNN,True,1
379,379,pca_umap,,"(3132, 2)","(684, 2)",MLP,0.9058,0.5102,0.5005,-0.0948,editNN,True,1
380,380,pca_umap,,"(3132, 2)","(684, 2)",logisticRegression,0.6376,0.5775,0.5698,0.0508,editNN,True,1
381,381,pca_umap,,"(3132, 2)","(684, 2)",decisionTree,0.9314,0.5512,0.6046,-0.2239,editNN,True,1
382,382,pca_umap,,"(3132, 2)","(684, 2)",randomForest,0.9537,0.5731,0.6372,-0.1951,editNN,True,1
383,383,pca_umap,,"(3132, 2)","(684, 2)",xgb,0.9444,0.6067,0.6549,-0.0757,editNN,True,1
384,384,pca_umap,,"(1044, 2)","(684, 2)",naive,0.5,0.6915,0.8176,0.0,tomkLink,False,1
385,385,pca_umap,,"(1044, 2)","(684, 2)",MLP,0.7557,0.4576,0.4427,-0.1828,tomkLink,False,1
386,386,pca_umap,,"(1044, 2)","(684, 2)",logisticRegression,0.6801,0.5117,0.4937,0.0437,tomkLink,False,1
387,387,pca_umap,,"(1044, 2)","(684, 2)",decisionTree,0.8228,0.5789,0.5994,-0.0652,tomkLink,False,1
388,388,pca_umap,,"(1044, 2)","(684, 2)",randomForest,0.842,0.5322,0.5322,-0.0966,tomkLink,False,1
389,389,pca_umap,,"(1044, 2)","(684, 2)",xgb,0.8113,0.5307,0.535,-0.1191,tomkLink,False,1
390,390,pca_umap,,"(3132, 2)","(684, 2)",naive,0.5,0.6915,0.8176,0.0,tomkLink,True,1
391,391,pca_umap,,"(3132, 2)","(684, 2)",MLP,0.8059,0.4444,0.4622,0.0744,tomkLink,True,1
392,392,pca_umap,,"(3132, 2)","(684, 2)",logisticRegression,0.6606,0.4357,0.4213,-0.0434,tomkLink,True,1
393,393,pca_umap,,"(3132, 2)","(684, 2)",decisionTree,0.9151,0.4693,0.4522,-0.0073,tomkLink,True,1
394,394,pca_umap,,"(3132, 2)","(684, 2)",randomForest,0.9189,0.4576,0.4652,0.0748,tomkLink,True,1
395,395,pca_umap,,"(3132, 2)","(684, 2)",xgb,0.8911,0.405,0.4199,0.0003,tomkLink,True,1
396,396,pca_umap,,"(1058, 2)","(684, 2)",naive,0.5,0.6915,0.8176,0.0,smoteNN,False,1
397,397,pca_umap,,"(1058, 2)","(684, 2)",MLP,0.8828,0.6199,0.6658,-0.0381,smoteNN,False,1
398,398,pca_umap,,"(1058, 2)","(684, 2)",logisticRegression,0.7297,0.4883,0.4779,-0.1424,smoteNN,False,1
399,399,pca_umap,,"(1058, 2)","(684, 2)",decisionTree,0.9263,0.6959,0.7718,0.0887,smoteNN,False,1
400,400,pca_umap,,"(1058, 2)","(684, 2)",randomForest,0.949,0.6901,0.7806,0.0488,smoteNN,False,1
401,401,pca_umap,,"(1058, 2)","(684, 2)",xgb,0.9518,0.6082,0.675,-0.1144,smoteNN,False,1
402,402,pca_umap,,"(3174, 2)","(684, 2)",naive,0.5,0.6915,0.8176,0.0,smoteNN,True,1
403,403,pca_umap,,"(3174, 2)","(684, 2)",MLP,0.9282,0.5614,0.5492,0.0447,smoteNN,True,1
